keyword,best_label,confidence,score_neutral,score_contradiction
twisting machine,neutral,0.703,0.703,
meera industries,neutral,0.445,0.445,
meera industries ltd,contradiction,0.515,,0.515
cone to cone winding machine,neutral,0.756,0.756,
meera industries limited,neutral,0.417,0.417,
ring twister,neutral,0.697,0.697,
cotton yarn twisting machine,neutral,0.825,0.825,
meera corporation,neutral,0.42,0.42,
mera machine,neutral,0.637,0.637,
meera glass industries,neutral,0.458,0.458,
yarn twister,neutral,0.799,0.799,
meera,neutral,0.417,0.417,
cross winding,neutral,0.658,0.658,
winders,neutral,0.643,0.643,
meera enterprises,neutral,0.449,0.449,
textiles machines,neutral,0.805,0.805,
twisting machine,neutral,0.703,0.703,
industries surat,neutral,0.46,0.46,
meera industries,neutral,0.445,0.445,
meera industries ltd,contradiction,0.515,,0.515
winder machine price,neutral,0.715,0.715,
heat setting,neutral,0.587,0.587,
machine manufacturer in surat,neutral,0.832,0.832,
meera industries limited,neutral,0.417,0.417,
textile machinery supplier,neutral,0.885,0.885,
meera industries share,neutral,0.545,0.545,
ring twister,neutral,0.697,0.697,
yarn filament,neutral,0.47,0.47,
cotton yarn twisting machine,neutral,0.825,0.825,
meera corporation,neutral,0.42,0.42,
meera laser solutions,neutral,0.589,0.589,
mera machine,neutral,0.637,0.637,
carpet industrial,neutral,0.738,0.738,
gujarat machinery manufacturers,neutral,0.766,0.766,
list of textile industries in surat,neutral,0.734,0.734,
meera exports,neutral,0.445,0.445,
surat textile industries list,neutral,0.611,0.611,
textile industry surat list,neutral,0.623,0.623,
marine industrial machines,neutral,0.726,0.726,
meera glass industries,neutral,0.458,0.458,
meera laser solutions pvt ltd,neutral,0.443,0.443,
textile machine manufacturer in surat,neutral,0.921,0.921,
textile machine manufacturers in surat,neutral,0.93,0.93,
textile machinery manufacturers in surat,neutral,0.956,0.956,
twist in yarn,neutral,0.627,0.627,
twist of yarn,neutral,0.764,0.764,
twist with yarn,neutral,0.596,0.596,
twisting of yarn,neutral,0.776,0.776,
yarn machines,neutral,0.715,0.715,
yarn twist,neutral,0.709,0.709,
yarn twister,neutral,0.799,0.799,
yarn twisting,neutral,0.625,0.625,
textile manufacturing machine,neutral,0.759,0.759,
yash textile machines p ltd,neutral,0.606,0.606,
yash textile machines pvt ltd,neutral,0.561,0.561,
textile machine manufacturers in surat,neutral,0.93,0.93,
yarn twister,neutral,0.799,0.799,
doubler,neutral,0.722,0.722,
t f o machine,neutral,0.504,0.504,
tfo machine,neutral,0.563,0.563,
polyester thread,neutral,0.79,0.79,
polycherry thread,neutral,0.743,0.743,
bag thread,neutral,0.846,0.846,
bag closer thread,neutral,0.624,0.624,
aalidhra pharmachem pvt ltd,contradiction,0.434,,0.434
11 draw,neutral,0.614,0.614,
texfab engineers,neutral,0.816,0.816,
aalidhra textile engineers ltd,neutral,0.471,0.471,
texfab engineers i pvt ltd,neutral,0.506,0.506,
alidhra weavetech group,contradiction,0.431,,0.431
textile machine manufacturer in surat,neutral,0.921,0.921,
textile machine manufacturers in surat,neutral,0.93,0.93,
textile machinery manufacturers in surat,neutral,0.956,0.956,
texturing machine,neutral,0.734,0.734,
weavetech engineers limited,neutral,0.545,0.545,
weavetech engineers ltd,neutral,0.477,0.477,
twisting machine,neutral,0.703,0.703,
t f o machine,neutral,0.504,0.504,
tfo machine,neutral,0.563,0.563,
doubler machine,neutral,0.648,0.648,
doubling machine,neutral,0.743,0.743,
cotton yarn twisting machine,neutral,0.825,0.825,
aalidhra textile engineers ltd,neutral,0.471,0.471,
alidhra weavetech group,contradiction,0.431,,0.431
yarn twister,neutral,0.799,0.799,
weavetech engineers limited,neutral,0.545,0.545,
weavetech engineers ltd,neutral,0.477,0.477,
aawadkrupa plastomech private limited,neutral,0.351,0.351,
aawadkrupa plastomech pvt ltd,neutral,0.373,0.373,
ring twister,neutral,0.697,0.697,
aawadkrupa plastomech private limited,neutral,0.351,0.351,
aawadkrupa plastomech pvt ltd,neutral,0.373,0.373,
ring twister,neutral,0.697,0.697,
making rope machine,neutral,0.793,0.793,
rope making machine,neutral,0.617,0.617,
technology plastomech pvt ltd,neutral,0.398,0.398,
machine rope,neutral,0.757,0.757,
rope machine,contradiction,0.683,,0.683
dty,neutral,0.385,0.385,
bagat,neutral,0.566,0.566,
